Title:,"Annual average concentrations of selected determinands of river water quality, by river location: ",,,,,,,,,,,,,,,,
North East,TEES - LOW WORSALL                   ,1980,7.6,7.766666667,485.4545455,16.33333333,22.5,11.12727273,2.25,0.25,0.045833333,17.20868881,31.88333333,100.5,6.675,0.263333333,0.0875
North East,TEES - LOW WORSALL                   ,1981,9.5,7.883333333,414.1666667,4.916666667,,11.16666667,2.041666667,0.18,0.04,16.48535555,27.25,106.1666667,3.229166667,0.521666667,0.045416667
North East,TEES - LOW WORSALL                   ,1982,10.4,7.754545455,352.3,10.65833333,,11.30833333,2.416666667,0.203333333,0.07875,17.4707126,30.08333333,86.25,5.125,0.396666667,0.167222222
North East,TEES - LOW WORSALL                   ,1983,10,7.841666667,382.5,15.26666667,,10.21666667,2.708333333,0.33,0.058333333,16.50011745,34.5,111.25,,0.5475,0.1
North East,TEES - LOW WORSALL                   ,1984,10.41666667,7.816666667,337.5,20.41666667,,10.71666667,2.35,0.198333333,0.061666667,15.02023664,26.5,81.25,,0.41,0.07
North East,TEES - LOW WORSALL                   ,1985,9.045454545,7.345454545,383,5.818181818,,9.681818182,2.490909091,0.605454545,0.067272727,17.2714269,37.5,98.75,13,0.24,0.04
North East,TEES - LOW WORSALL                   ,1986,8.625,7.483333333,351.25,28.75,,10.40833333,2.116666667,0.373833333,0.099166667,20.51904563,50.25,108.3333333,16.075,0.395,0.0475
North East,TEES - LOW WORSALL                   ,1987,8.5,7.725,296,9.166666667,,10.43333333,1.791666667,0.178333333,0.030833333,13.32261776,22,86.66666667,9,0.271666667,0.06175
North East,TEES - LOW WORSALL                   ,1988,10.08333333,7.733333333,352.75,10,,10.24166667,2.216666667,0.132916667,0.069166667,12.59559402,34.25,123.2,0.9,0.194,0.02
North East,TEES - LOW WORSALL                   ,1989,10.5,7.746153846,293.5,14.44615385,,10.05833333,2.425,0.331153846,0.057307692,20.64395405,32.16666667,79.33333333,3.3,0.65,0.351666667
North East,TEES - LOW WORSALL                   ,1990,9.972727273,7.692857143,251.5454545,22.35714286,,9.683333333,1.85,0.0725,0.027083333,12.45904641,35.18181818,73.58333333,,0.169,
North East,TEES - LOW WORSALL                   ,1991,10.05555556,7.581818182,,15.22727273,,10.41818182,1.786363636,0.168181818,0.062727273,15.26246606,24.5375,78.70909091,,0.4,
North East,TEES - LOW WORSALL                   ,1992,10.29166667,7.753846154,374.5,9.115384615,,9.4,1.707692308,0.08,0.050833333,25.32958088,34.125,96.56666667,6.32,0.473636364,0.05
North East,TEES - LOW WORSALL                   ,1993,10.2,7.78,315,21.2,,9.8375,2.07,0.137,0.057,18.26785538,26.47,83.95,6.7,0.237,0.007
North East,TEES - LOW WORSALL                   ,1994,10.32,7.72,,15.75,,10.5975,1.59,0.038,0.017,13.22666539,20.22,54.4,3.5,0.171,0.046666667
North East,TEES - LOW WORSALL                   ,1995,14.26363636,7.75,426.25,10.5625,,7.000769231,1.6875,0.04625,0.021875,19.54265117,35.025,93.95,4.346153846,0.455,0.04
North East,TEES - LOW WORSALL                   ,1996,11.68,7.885714286,447,3.857142857,,9.831578947,1.978571429,0.073928571,0.028571429,18.22673293,43.42142857,94.92857143,2.991666667,0.481428571,0.041
North East,TEES - LOW WORSALL                   ,1997,13.08636364,7.933333333,232.25,6.083333333,,9.460909091,2.116666667,0.047916667,0.026875,15.729479,32.84166667,84.40833333,3.404545455,0.5125,0.025
North East,TEES - LOW WORSALL                   ,1998,12.38636364,7.9825,389.4,10.25,,9.009545455,1.645454545,0.075416667,0.0325,18.43023631,29.83333333,98.15833333,2.54952381,0.349090909,
North East,TEES - LOW WORSALL                   ,1999,12.20625,7.761666667,375,15.375,,8.565714286,2.191666667,0.06625,0.028416667,13.86142723,27.35833333,83.475,4.7935,0.3198,
North East,TEES - LOW WORSALL                   ,2000,10.34166667,7.810833333,356.75,16.45833333,,9.7175,1.808333333,0.07475,0.0315,13.743332,25.49166667,92.99166667,3.05,0.309625,0.025
North East,TEES - LOW WORSALL                   ,2001,2.8,7.66,,8,,12.2,3.3,0.113,0.034,13.86142723,27.3,86.5,1.54,0.165,
North East,TEES - LOW WORSALL                   ,2002,10.75,7.775,553,4.625,,10.44,1.575,0.06875,0.02675,13.57357012,22.325,100.925,2.5975,0.35425,0.025
North East,TEES - LOW WORSALL                   ,2003,11.98333333,7.883333333,296,4.333333333,5.5,8.989166667,1.391666667,0.09425,0.022958333,12.76535591,29.09275,101.5583333,2.711666667,0.406583333,0.025
North East,TEES - LOW WORSALL                   ,2004,11.81666667,7.575,191.1,10.16666667,6.083333333,9.920833333,1.716666667,0.09525,0.014583333,9.316975289,20.3725,55.2,3.090833333,0.206166667,0.025
North East,TEES - LOW WORSALL                   ,2005,11.05,7.783333333,309.9166667,7.333333333,3.833333333,10.54916667,1.841666667,0.063666667,0.016833333,13.03697493,29.8955,,2.68,0.22525,0.0275
North East,TEES - LOW WORSALL                   ,2006,12.63333333,7.891666667,305.75,9.666666667,9,9.9025,1.632916667,0.067708333,0.015225833,12.21658215,27.7675,,6.03,0.20135,0.025
North East,TEES - LOW WORSALL                   ,2007,10.64166667,7.683333333,377.4166667,5.808333333,10,9.989166667,1.163333333,0.057166667,0.025525,14.33380814,24.425,,4.050833333,0.251608333,0.025
North East,TEES - LOW WORSALL                   ,2008,10.26166667,7.8,382.3333333,4.758333333,10,10.5625,1.441666667,0.08025,0.02475,12.68490353,27.88333333,,2.198333333,0.180166667,0.025
North East,TEES - LOW WORSALL                   ,2009,11.34153846,7.805384615,295.4615385,9.641666667,12.41666667,10.57583333,1.516666667,0.06625,0.025208333,9.824784764,20.725,,6.296666667,0.152833333,0.025
North East,TEES - LOW WORSALL                   ,2010,12.00666667,7.911666667,350.1666667,8.585833333,12.825,10.22416667,1.708333333,0.041333333,0.017816667,10.13699902,26.375,,4.911666667,0.172833333,0.025
North East,TEES - LOW WORSALL                   ,2011,10.21833333,7.874166667,371.05,8.964166667,11.11666667,9.814166667,1.658333333,0.021416667,0.011808333,10.56472517,22.925,,6.008333333,0.164083333,0.025
North East,TYNE - WYLAM                         ,1980,9.658333333,7.85,253.3333333,20.16666667,3.25,10.75833333,1.95,0.376666667,0.023333333,3.679404406,23.93333333,78.58333333,5.170833333,0.053333333,0.14625
North East,TYNE - WYLAM                         ,1981,9.483333333,7.791666667,232.4166667,61.41666667,,10.15833333,2.45,0.305833333,0.032083333,2.974523522,13.05,68,4.491666667,0.06625,0.074583333
North East,TYNE - WYLAM                         ,1982,9.683333333,7.708333333,241.75,9.066666667,,10.11666667,1.95,0.299083333,0.039166667,3.004047328,14.15833333,72.5,3.327272727,0.025833333,0.064090909
North East,TYNE - WYLAM                         ,1983,8.675,7.666666667,265.5,10.75,,10.5875,1.983333333,0.290833333,0.027916667,2.638690221,17.75,72.75,2.8625,0.05,0.03875
North East,TYNE - WYLAM                         ,1984,11.51818182,7.658333333,326,5.625,,10.0375,2.241666667,0.475,0.03875,3.922975811,19.625,70.4,2.4375,0.01875,0.0325
North East,TYNE - WYLAM                         ,1985,8.958333333,7.65,281.5,10.41666667,,10.53333333,2.675,0.305833333,0.019583333,4.483928138,17.5,74.5,1.1,0.0375,0.04375
North East,TYNE - WYLAM                         ,1986,9.833333333,7.541666667,263.5,10.625,,10.25833333,1.85,0.290833333,0.02625,3.779047253,17.675,63.25,3.575,0.0325,0.01625
North East,TYNE - WYLAM                         ,1987,9.03,7.675,198,12.66666667,,10.84166667,2.3,0.2325,0.014166667,3.660952027,10.825,52.5,3.225,0.01875,0.035
North East,TYNE - WYLAM                         ,1988,10.08333333,7.683333333,270.4,10.08333333,,10.45,1.558333333,0.239666667,0.022916667,2.634999745,17.3,64.5,1.3,0.03125,0.012857143
North East,TYNE - WYLAM                         ,1989,11.11666667,7.7,227,5.875,,10.59090909,2.208333333,0.446666667,0.045833333,2.83428544,19.41666667,68.175,83,0.045,0.021666667
North East,TYNE - WYLAM                         ,1990,9.38,7.614285714,205.4,9.0625,,11.77272727,1.55,0.278125,0.0303125,2.682053312,24.71875,50.2,,0.086666667,0.121
North East,TYNE - WYLAM                         ,1991,11.62380952,7.7,229.7692308,11.5,,11.56875,1.564285714,0.4546875,0.062058824,3.71999964,28.5625,72.12857143,,0.04,0.125
North East,TYNE - WYLAM                         ,1992,12.95625,7.407692308,214.3333333,15.59375,,10.9125,2.18,0.159,0.05875,4.137946028,22.10666667,70.26923077,10.41428571,0.041923077,0.0145
North East,TYNE - WYLAM                         ,1993,10.4,7.716666667,315,5.272727273,,11.70833333,1.78,0.124166667,0.028333333,4.125951982,24.83333333,73.76363636,3.15,0.013333333,0.010916667
North East,TYNE - WYLAM                         ,1994,9.98,7.8,243.8,2.1,,11.276,1.34,0.266,0.029,3.463142522,21.3,78,2.62,0.0123,0.08
North East,TYNE - WYLAM                         ,1995,10.72727273,7.9,214.8181818,6.833333333,,11.8,1.6625,0.150833333,0.018333333,3.063094942,16.85833333,68.53333333,4.808333333,0.030833333,0.057916667
North East,TYNE - WYLAM                         ,1996,10.7,7.708333333,215.4166667,7.041666667,,11.03266667,1.6,0.173571429,0.02625,4.463015441,20.49166667,59.75,5.981818182,0.0275,0.032083333
North East,TYNE - WYLAM                         ,1997,15.58333333,7.9,254.6785714,5.8125,,9.581666667,1.366666667,0.19375,0.03165625,3.06719547,21.74137931,65.86428571,3.675,0.0475,0.025
North East,TYNE - WYLAM                         ,1998,10.51428571,7.841333333,206.9230769,13.15384615,,11.35761905,1.76,0.099,0.015576923,4.435951952,16.53846154,61.03571429,2.28,,0.025
North East,TYNE - WYLAM                         ,1999,9.564285714,7.709166667,208.8333333,9.083333333,,11.115,2.183333333,0.145166667,0.02775,4.136687911,17.69583333,66.98333333,5.738181818,,
North East,TYNE - WYLAM                         ,2000,8.910526316,7.7875,204.3636364,14.875,,11.95,1.881818182,0.093333333,0.019166667,4.652582883,16.05454545,60.76666667,4.325454545,0.048272727,0.025
North East,TYNE - WYLAM                         ,2001,10.05555556,7.974444444,234.5555556,2.722222222,,11.25888889,1.411111111,0.180444444,0.023,4.693793197,16.35555556,79.8,1.8675,0.038666667,0.025
North East,TYNE - WYLAM                         ,2002,10.90769231,7.330769231,206,4.541666667,,10.60923077,1.5,0.10025,0.019083333,4.187582928,14.58166667,66.53333333,2.521666667,0.054916667,0.025
North East,TYNE - WYLAM                         ,2003,10.57857143,7.55,207.5,5.583333333,2.854166667,10.83285714,1.491666667,0.09975,0.012416667,3.384535387,16.14416667,70.54166667,4.010833333,0.0325,0.025
North East,TYNE - WYLAM                         ,2004,11.43333333,7.841666667,149.6444444,15.91666667,10.75,11.20083333,1.8125,0.110416667,0.014625,2.767487827,15.44908333,35.4,5.259166667,0.0135,0.025
North East,TYNE - WYLAM                         ,2005,11.075,7.758333333,220.8333333,5.25,2.541666667,11.025,1.3,0.1685,0.014,4.125213887,18.34166667,,2.960833333,0.02025,0.025
North East,TYNE - WYLAM                         ,2006,12.28333333,7.808333333,206.4166667,26.29166667,24.08333333,11.1725,1.455416667,0.145575,0.0156,3.90932105,16.3425,,5.890833333,0.023183333,0.025
North East,TYNE - WYLAM                         ,2007,10.00833333,7.391666667,181.9166667,33.66666667,31.66666667,10.73583333,2.429583333,0.084083333,0.004883333,3.340618724,13.60833333,57.625,9.211666667,0.011833333,0.025
North East,TYNE - WYLAM                         ,2008,9.009166667,7.555833333,229.8333333,8.625,11.66666667,11.32416667,1.191666667,0.06625,0.006975,4.052511513,15.73333333,,2.2225,0.015916667,0.025
North East,TYNE - WYLAM                         ,2009,10.40642857,7.578571429,204.5,11.45,13.91666667,10.40916667,1.358333333,0.0995,0.012358333,2.735380688,15.51666667,,6.891666667,0.01475,0.025
North East,TYNE - WYLAM                         ,2010,9.4825,7.704166667,224.5833333,4.2275,10,10.74666667,1.291666667,0.101916667,0.010316667,3.240237782,16.05,,4.543333333,0.011,0.025
North East,TYNE - WYLAM                         ,2011,10.47916667,7.851666667,225.1916667,7.034166667,10.91666667,10.97666667,1.325,0.060666667,0.002808333,2.851999724,14.01666667,,4.359166667,0.011583333,0.025
Midlands,SEVERN - HAW BRIDGE                    ,1980,10.26086957,7.8375,563.5416667,48.75,38.54166667,10.3875,2.645833333,0.1375,,25.70416418,51.70833333,134.375,16.35416667,0.535,0.089615385
Midlands,SEVERN - HAW BRIDGE                    ,1981,10.125,7.9,511.25,70.08333333,53.68181818,10.05,2.695652174,0.16875,,23.06707851,43.25,123.1363636,16.17391304,0.626086957,
Midlands,SEVERN - HAW BRIDGE                    ,1982,12.38636364,8.109090909,602.6111111,40.71428571,38.07142857,10.5,3.340909091,0.191818182,,25.15428328,53.45454545,146.6923077,8.142857143,0.82075,
Midlands,SEVERN - HAW BRIDGE                    ,1983,11.53181818,7.956521739,556.9130435,40.25,22,11.03636364,2.468181818,0.189270833,,24.7077357,50.625,127,16.4,0.921428571,0.128333333
Midlands,SEVERN - HAW BRIDGE                    ,1984,12.45,7.988461538,623.3076923,38.53846154,,11.005,2.494,0.14375,,29.24560157,63.76923077,139.2307692,31.67777778,1.125,0.108
Midlands,SEVERN - HAW BRIDGE                    ,1985,10.15652174,7.928,565.72,30.92,,10.81666667,1.7,0.2238,,28.02399729,52.08,132.84,24.10769231,0.7096,
Midlands,SEVERN - HAW BRIDGE                    ,1986,10.5173913,7.996,603.8,39.68,,11.66086957,2.477272727,0.2982,,29.28171145,55.32,140.76,2.25,0.854,
Midlands,SEVERN - HAW BRIDGE                    ,1987,11.52857143,7.824,578,32.16,12.25,10.33181818,2.276,0.219,,28.93451149,48.44,141.92,14.79166667,0.724,
Midlands,SEVERN - HAW BRIDGE                    ,1988,11.8,7.684615385,533.0769231,29.42307692,25.17857143,10.525,2.326923077,0.220384615,,25.31098656,48.92307692,129.8076923,,0.8136,
Midlands,SEVERN - HAW BRIDGE                    ,1989,13.34375,7.925714286,642.5714286,22.02857143,15.46153846,10.5030303,2.467647059,0.293428571,,27.24203818,66.88571429,142.2592593,,1.154166667,0.081666667
Midlands,SEVERN - HAW BRIDGE                    ,1990,11.17857143,7.879661017,594.3050847,24.30508475,20.0952381,10.74545455,2.730508475,0.203779661,,26.714041,67.57627119,116.4,31.58947368,1.152222222,0.083
Midlands,SEVERN - HAW BRIDGE                    ,1991,11.5,7.929090909,585.6724138,36.82758621,15.025,11.05438596,2.536111111,0.139454545,,27.80739991,63.63636364,121.3,41.55,0.838977273,0.056538462
Midlands,SEVERN - HAW BRIDGE                    ,1992,10.73333333,7.89,491.1666667,30.2,29.53846154,10.39333333,1.898333333,0.119233333,,27.00690215,44.91666667,118.8571429,15.87333333,0.568608696,0.038181818
Midlands,SEVERN - HAW BRIDGE                    ,1993,10.22222222,7.981481481,566.2962963,33.51851852,27.04166667,11.13777778,2.186,0.116666667,,26.95359528,50.88888889,138.0714286,24.62307692,0.724846154,0.230833333
Midlands,SEVERN - HAW BRIDGE                    ,1994,11.56666667,7.991666667,571.0416667,28.32,22.7,10.80333333,2.270833333,0.09075,,26.27249746,56.125,110.1666667,25.39090909,0.682277778,0.08
Midlands,SEVERN - HAW BRIDGE                    ,1995,11.44444444,8.089473684,657.8947368,48.31578947,25.75,10.72222222,2.368421053,0.115421053,0.059833333,28.71578669,71.68421053,150.75,41.47142857,0.94825,0.041666667
Midlands,SEVERN - HAW BRIDGE                    ,1996,11.06666667,7.976923077,615.3846154,83.46153846,75.15384615,10.65333333,2.276923077,0.197,0.064153846,30.76749702,69.64615385,104,15.01538462,0.864230769,0.084615385
Midlands,SEVERN - HAW BRIDGE                    ,1997,11.03448276,7.9375,538.75,50.375,49.08333333,10.756,1.975,0.1744375,0.057833333,29.40571144,55.41875,116.7733333,17.50833333,1.077583333,0.08
Midlands,SEVERN - HAW BRIDGE                    ,1998,12.66666667,7.966666667,528.8333333,42.33333333,37.58333333,10.3125,1.875,0.127,0.055583333,29.65777094,48.76666667,121,13.23833333,0.715083333,0.035
Midlands,SEVERN - HAW BRIDGE                    ,1999,11.58333333,8,519.1666667,52.33333333,50.3,,1.8075,0.112583333,0.0485,27.4571402,45.175,127.975,19.77333333,0.467333333,0.041975
Midlands,SEVERN - HAW BRIDGE                    ,2000,11.88333333,7.966666667,514.1666667,53.25,43.33333333,10.28083333,,0.090916667,0.044416667,27.03642596,44.80833333,136.4166667,11.8875,0.470583333,0.0613
Midlands,SEVERN - HAW BRIDGE                    ,2001,12.9,8.018181818,,85.7,,,,0.1268,,,47.35,,,,
Midlands,SEVERN - HAW BRIDGE                    ,2002,13.89230769,8.038461538,556.9166667,33.53846154,30.41666667,9.446153846,1.938846154,0.064307692,,28.94922797,53.73076923,,23.83416667,0.544076923,
Midlands,SEVERN - HAW BRIDGE                    ,2003,11.78,8.073333333,642.8333333,32.61538462,24.16666667,10.22571429,1.846538462,0.077153846,0.040307692,31.27593104,67.79230769,145.7692308,33.46454545,0.636615385,0.050833333
Midlands,SEVERN - HAW BRIDGE                    ,2004,14.58095238,7.933333333,565.4166667,21.07692308,16.75,9.58047619,1.876153846,0.065846154,0.039615385,28.0975797,58.1,110,22.32916667,0.484923077,0.027916667
Midlands,SEVERN - HAW BRIDGE                    ,2005,12.56923077,7.923076923,580.25,64.25,54.58333333,9.7425,1.802083333,0.0715,0.027166667,27.40178306,58.9,,16.12083333,0.430916667,0.036583333
Midlands,SEVERN - HAW BRIDGE                    ,2006,12.56666667,7.966666667,512,53.70833333,37.5,10.41083333,1.190416667,0.061066667,0.032183333,25.44952135,49.20833333,,13.27083333,0.334583333,0.036384615
Midlands,SEVERN - HAW BRIDGE                    ,2007,11.86,8.106666667,524.6666667,150.0923077,129.6923077,11.06923077,1.969166667,0.076107143,0.034169231,26.90186553,42.1,127.3636364,16.98,0.235076923,0.028583333
Midlands,SEVERN - HAW BRIDGE                    ,2008,12.02133333,8.130666667,589.7333333,26.26923077,22.33333333,10.22,1.238461538,0.058538462,0.029669231,24.72505255,44.55,,14.58333333,0.270692308,0.025
Midlands,SEVERN - HAW BRIDGE                    ,2009,12.11333333,8.028333333,644.0833333,42.4,36.41666667,10.44166667,1.833333333,0.069166667,0.028591667,25.28714041,55.15833333,,20.83333333,0.27275,0.025
Midlands,SEVERN - HAW BRIDGE                    ,2010,12.86538462,8.134615385,652.2307692,23.72692308,18.53846154,10.39230769,1.561538462,0.074307692,0.030807692,25.78790959,56.63076923,,29.58076923,0.266230769,0.025
Midlands,SEVERN - HAW BRIDGE                    ,2011,11.91846154,8.166923077,575.6846154,34.98461538,20.46666667,10.85692308,2.166666667,0.073692308,0.033315385,23.64487866,55.34166667,,42.25833333,0.254833333,0.04375
Midlands,TRENT - YOXALL                        ,1980,11.87916667,7.808333333,1032.5,20.86956522,14.71428571,10.2125,3.333333333,0.202083333,,35.0779728,131.125,166.8181818,,1.119090909,0.057619048
Midlands,TRENT - YOXALL                        ,1981,10.87083333,7.704166667,989.5833333,28.79166667,21.26315789,9.67826087,3.120833333,0.265833333,,32.64225875,123.625,167.7368421,,1.036842105,0.037894737
Midlands,TRENT - YOXALL                        ,1982,11.50869565,7.704166667,1018.541667,39.65217391,16.5,9.190909091,4.045833333,0.413541667,,32.12928261,136.2916667,163.5454545,,1.428636364,0.122857143
Midlands,TRENT - YOXALL                        ,1983,9.938095238,7.870833333,1057.708333,25.875,,9.97,2.395833333,0.201583333,,36.43366107,138.0416667,166.2083333,42,1.482173913,0.28
Midlands,TRENT - YOXALL                        ,1984,10.66969697,7.905882353,1109.69697,22.67647059,,9.603225806,2.873529412,0.278955882,0.197916667,39.65264322,155.3235294,172.9705882,,1.656875,0.1085
Midlands,TRENT - YOXALL                        ,1985,10.56,7.862857143,1099.6,24.07142857,,9.441176471,3.084848485,0.243285714,,38.22489426,144.4,176.1764706,,1.454857143,
Midlands,TRENT - YOXALL                        ,1986,10.05142857,7.931428571,1025.176471,25.31428571,,10.03823529,3.178787879,0.328,,39.55346556,128.8,171.5142857,,1.343428571,
Midlands,TRENT - YOXALL                        ,1987,10.0125,7.832258065,934.5483871,22.83333333,15.33333333,9.382608696,3.341935484,0.330403226,,36.08571079,116.9677419,161.5483871,,1.200322581,
Midlands,TRENT - YOXALL                        ,1988,11.89677419,7.828125,1020.9375,16.28125,9,9.070967742,2.896875,0.3046875,,35.37321086,132.5,178.59375,,1.350322581,0.062692308
Midlands,TRENT - YOXALL                        ,1989,12.51219512,8.036585366,1068.536585,13.92682927,8.916666667,10.0175,2.751282051,0.17902439,,40.17037939,146.7585368,174.8108108,,1.819142857,0.065
Midlands,TRENT - YOXALL                        ,1990,11.76190476,8,1038.604651,19.43181818,11.73684211,10.26666667,3.441860465,0.25744186,,41.84484645,138.372093,158.8604651,14.2,1.655121951,0.107368421
Midlands,TRENT - YOXALL                        ,1991,11.16,8.071428571,1182.12766,13.92156863,9.136363636,10.276,2.71,0.18627451,,43.25237677,163.4313725,174,27.34444444,1.701025641,0.173636364
Midlands,TRENT - YOXALL                        ,1992,11.9245283,8.092727273,1094.962264,13.74545455,8.766666667,10.21296296,2.944444444,0.189345455,0.121,41.49242985,146.1690909,171.2,20.99230769,1.195522727,0.069666667
Midlands,TRENT - YOXALL                        ,1993,10.98305085,8.060655738,1042.704918,13.55737705,8.653846154,11.6,2.644067797,0.148885246,0.082954545,41.232174,135.6278689,175.6721311,12.45833333,1.151097561,0.068461538
Midlands,TRENT - YOXALL                        ,1994,12.82608696,8.080434783,933.9130435,16.41304348,29.5,11.33913043,3.141304348,0.192956522,0.0958,38.9069217,105.35,166.826087,7.85,0.94525,0.0425
Midlands,TRENT - YOXALL                        ,1995,13.76190476,8.168181818,962.2727273,14,6.25,11.07380952,2.36627907,0.098363636,0.08371875,41.28032068,110.9431818,166.9090909,8.725,1.479,0.125
Midlands,TRENT - YOXALL                        ,1996,9.4,7.99375,1021.333333,13.82142857,9.214285714,10.068,2.8125,0.2239375,0.1605625,47.64312039,137.9375,161.875,22.37333333,1.9795625,0.145
Midlands,TRENT - YOXALL                        ,1997,11.54285714,8.033333333,1040.833333,12.5,5.454545455,10.43333333,2.25,0.145666667,0.0705,44.40380523,129.5916667,173.1833333,16.95454545,1.590416667,0.155
Midlands,TRENT - YOXALL                        ,1998,10.14285714,8.033333333,945.8333333,9.916666667,7.166666667,9.51,1.625,0.077,0.062,43.02960623,93.90909091,171.8181818,8.253333333,1.272181818,0.039272727
Midlands,TRENT - YOXALL                        ,1999,12.27272727,7.972727273,850,25.45454545,18.90909091,9.2,2.590909091,0.194272727,0.081,38.81441183,86.01818182,164.2727273,11.64454545,1.071636364,0.065
Midlands,TRENT - YOXALL                        ,2000,10.5,7.908333333,802.5,19.16666667,13,9.804166667,,0.1505,0.08375,40.18190087,79.04166667,163.1666667,12.155,0.994333333,0.090708333
Midlands,TRENT - YOXALL                        ,2001,12,7.985,805.75,18.91666667,13.25,9.69,2.034583333,0.143083333,0.079916667,36.6806458,78.79166667,165.8333333,13.28833333,0.876833333,0.134525
Midlands,TRENT - YOXALL                        ,2002,12.55833333,8.108333333,866.5833333,11.95833333,12.25,10.64666667,2.11875,0.108583333,,38.45844866,92.91666667,,12.24333333,0.929416667,
Midlands,TRENT - YOXALL                        ,2003,9.923076923,7.761538462,921.7272727,8.772727273,10,9.663333333,2.298181818,0.127272727,0.084363636,42.06739853,102.4090909,182.7272727,17.9425,1.097363636,0.068818182
Midlands,TRENT - YOXALL                        ,2004,11.54615385,7.815384615,880.4166667,18.23076923,10,9.600769231,2.266153846,0.140923077,0.081538462,34.77790872,92.41538462,137,10.0025,0.811923077,0.041583333
Midlands,TRENT - YOXALL                        ,2005,13.62631579,7.984615385,910.7272727,11.63636364,10,9.354545455,1.653636364,0.121909091,0.077,39.08012609,101.6,,10.69272727,0.983090909,0.053727273
Midlands,TRENT - YOXALL                        ,2006,12.81851852,7.917647059,907,7.961538462,10,9.387692308,1.417307692,0.135492308,0.076115385,37.43505132,101.5384615,,9.144615385,0.803307692,0.037333333
Midlands,TRENT - YOXALL                        ,2007,11.85,7.873684211,877.7647059,16.66153846,13.90909091,9.522142857,2.022142857,0.196030769,0.081946154,34.78472191,88.56153846,175.5384615,10.1175,0.675692308,0.025
Midlands,TRENT - YOXALL                        ,2008,10.78235294,7.9,970,13.175,12.5,9.015,1.758333333,0.210166667,0.15635,35.03737756,93.61666667,,7.925,0.818583333,0.025
Midlands,TRENT - YOXALL                        ,2009,12.61666667,8.05,973.75,15.90833333,16.01666667,9.615833333,2.041666667,0.103083333,0.07005,35.97106795,93.48333333,,12.41666667,0.7,0.025
Midlands,TRENT - YOXALL                        ,2010,11.46666667,8.064285714,1030.083333,8.524166667,11,9.9075,1.833333333,0.150916667,0.062175,36.04856794,105.4,,6.591666667,0.725666667,0.025
Midlands,TRENT - YOXALL                        ,2011,12.785,8.103333333,1076.75,8.8475,10,10.07,1.5,0.07325,0.057708333,43.66201958,111.2416667,,5.375,0.910333333,0.025
Anglian,BEDFORD OUSE - EARITH                        ,1980,11.35555556,8.283333333,802.2708333,19.92083333,13.06666667,10.44375,3.829787234,0.157708333,,37.21844878,53.20833333,209.9375,36.3826087,0.966875,0.049583333
Anglian,BEDFORD OUSE - EARITH                        ,1981,10.5,8.184615385,827.6666667,16.24444444,9.388,10.04814815,3.151851852,0.19962963,,40.11957284,54.22222222,222.9230769,34.32727273,1.006666667,0.037777778
Anglian,BEDFORD OUSE - EARITH                        ,1982,12.01923077,8.141666667,848.8076923,20.31153846,,10.45,3.365384615,0.169423077,,42.16680911,59.76923077,218.8461538,32.63750042,1.110416667,0.040384615
Anglian,BEDFORD OUSE - EARITH                        ,1983,12.64583333,8.133333333,824.7916667,18.42916667,3.6,10.55416667,3.058333333,0.264375,,42.03451974,57.75,222.5416667,39.0350005,1.572857143,0.049166667
Anglian,BEDFORD OUSE - EARITH                        ,1984,14.08,8.232,834.32,28.7,,10.964,3.929166667,0.145,0.079545455,42.67371016,63.32,208.8,46.92916708,1.3452,0.044
Anglian,BEDFORD OUSE - EARITH                        ,1985,11.975,8.080952381,832,19.39,,11.04761905,3.576190476,0.142857143,0.081111111,40.4992818,66.47619048,222.7142857,53.71428571,1.491904762,0.0675
Anglian,BEDFORD OUSE - EARITH                        ,1986,12.18214286,8.076666667,824.2,26.49285714,,10.40172414,3.493333333,0.1845,0.088636364,44.55142426,68.46666667,213.6666667,77.81666667,1.505724138,0.048666667
Anglian,BEDFORD OUSE - EARITH                        ,1987,11.39655172,7.972,827.32,17.665,,9.340384615,2.611111111,0.184074074,0.085,42.88660961,58.66666667,230.64,18.4519992,1.0952,0.04668
Anglian,BEDFORD OUSE - EARITH                        ,1988,10.91304348,8,838.6086957,20.17826087,,10.44956522,2.481818182,0.09673913,0.085454545,42.76459213,55.95652174,233.826087,43.38823471,1.248947368,0.044826087
Anglian,BEDFORD OUSE - EARITH                        ,1989,12.64516129,8.108571429,978.5714286,13.96206897,,9.589117647,2.231428571,0.160714286,0.0876,30.25726238,72.12285714,235.0689655,28.74137897,2.072645161,0.0584
Anglian,BEDFORD OUSE - EARITH                        ,1990,11.375,8.053571429,1034.357143,21.58095238,,8.869642857,2.635714286,0.110382353,0.063166667,24.36756067,92.22727273,234.8333333,56.47647,2.5665,0.060833333
Anglian,BEDFORD OUSE - EARITH                        ,1991,11.30357143,8.155932203,1012.322034,22.44827586,,10.04067797,2.857627119,0.11625,0.072395833,40.96280556,87.5766665,197.320835,36.53888917,1.824183333,0.047
Anglian,BEDFORD OUSE - EARITH                        ,1992,12.05,8.193442623,949.5081967,21.4516129,,10.12377049,2.673770492,0.094959016,0.073863636,41.33671731,68.25737705,207.5833333,30.45,1.028770492,0.035208333
Anglian,BEDFORD OUSE - EARITH                        ,1993,12.12459016,8.21147541,907.5737705,22.40909091,,9.6115,2.263333333,0.079909836,0.0642,39.33950439,61.12459016,225.08,31.33055556,0.661786885,0.03584
